Ano;Território;Modalidade de ensino;Taxa de retenção e desistência no ensino secunário, em todos os anos de escolaridade;Desemprego registado nos centros de emprego (para menores de 25 anos)
2009.0;Castanheira de Pêra_Município;Cursos Tecnológicos e Profissionais;;27.3
2009.0;Castanheira de Pêra_Município;Total;;27.3
2009.0;Castelo Branco_Município;Cursos gerais;20.9;392.8
2009.0;Castelo Branco_Município;Cursos Tecnológicos e Profissionais;12.5;392.8
2009.0;Castelo Branco_Município;Total;17.5;392.8
2009.0;Castelo de Paiva_Município;Cursos gerais;24.6;186.1
2009.0;Castelo de Paiva_Município;Cursos Tecnológicos e Profissionais;14.6;186.1
2009.0;Castelo de Paiva_Município;Total;21.3;186.1
2009.0;Castelo de Vide_Município;Cursos gerais;;30.0
2009.0;Castelo de Vide_Município;Cursos Tecnológicos e Profissionais;;30.0
2009.0;Castelo de Vide_Município;Total;;30.0
2009.0;Castro Daire_Município;Cursos gerais;22.3;60.3
2009.0;Castro Daire_Município;Cursos Tecnológicos e Profissionais;24.8;60.3
2009.0;Castro Daire_Município;Total;23.1;60.3
2009.0;Castro Marim_Município;Cursos gerais;;32.8
2009.0;Castro Marim_Município;Cursos Tecnológicos e Profissionais;;32.8
2009.0;Castro Marim_Município;Total;;32.8
2009.0;Castro Verde_Município;Cursos gerais;16.9;51.8
2009.0;Castro Verde_Município;Cursos Tecnológicos e Profissionais;5.5;51.8
2009.0;Castro Verde_Município;Total;13.3;51.8
2009.0;Celorico da Beira_Município;Cursos gerais;17.6;44.5
2009.0;Celorico da Beira_Município;Cursos Tecnológicos e Profissionais;49.2;44.5
2009.0;Celorico da Beira_Município;Total;28.7;44.5
2009.0;Celorico de Basto_Município;Cursos gerais;21.3;227.3
2009.0;Celorico de Basto_Município;Cursos Tecnológicos e Profissionais;6.4;227.3
2009.0;Celorico de Basto_Município;Total;12.3;227.3
2009.0;Chamusca_Município;Cursos gerais;23.9;72.3
2009.0;Chamusca_Município;Cursos Tecnológicos e Profissionais;28.1;72.3
2009.0;Chamusca_Município;Total;26.0;72.3
2009.0;Chaves_Município;Cursos gerais;16.8;329.8
2009.0;Chaves_Município;Cursos Tecnológicos e Profissionais;8.5;329.8
2009.0;Chaves_Município;Total;14.1;329.8
2009.0;Cinfães_Município;Cursos gerais;12.0;152.3
2009.0;Cinfães_Município;Cursos Tecnológicos e Profissionais;7.3;152.3
2009.0;Cinfães_Município;Total;9.7;152.3
2009.0;Coimbra_Município;Cursos gerais;22.8;806.3
2009.0;Coimbra_Município;Cursos Tecnológicos e Profissionais;16.1;806.3
2009.0;Coimbra_Município;Total;20.4;806.3
2009.0;Condeixa-a-Nova_Município;Cursos gerais;24.5;71.6
2009.0;Condeixa-a-Nova_Município;Cursos Tecnológicos e Profissionais;19.0;71.6
2009.0;Condeixa-a-Nova_Município;Total;23.9;71.6
2009.0;Constância_Município;Cursos gerais;;27.2
2009.0;Constância_Município;Cursos Tecnológicos e Profissionais;11.4;27.2
2009.0;Constância_Município;Total;11.4;27.2
2009.0;Coruche_Município;Cursos gerais;18.3;126.8
2009.0;Coruche_Município;Cursos Tecnológicos e Profissionais;9.9;126.8
2009.0;Coruche_Município;Total;15.3;126.8
2009.0;Corvo_Município;Cursos gerais;;
2009.0;Corvo_Município;Cursos Tecnológicos e Profissionais;;
2009.0;Corvo_Município;Total;;
2009.0;Covilhã_Município;Cursos gerais;19.8;445.4
2009.0;Covilhã_Município;Cursos Tecnológicos e Profissionais;11.3;445.4
2009.0;Covilhã_Município;Total;17.1;445.4
2009.0;Crato_Município;Cursos gerais;;21.3
2009.0;Crato_Município;Cursos Tecnológicos e Profissionais;10.2;21.3
2009.0;Crato_Município;Total;10.2;21.3
2009.0;Cuba_Município;Cursos gerais;;27.4
2009.0;Cuba_Município;Cursos Tecnológicos e Profissionais;31.9;27.4
2009.0;Cuba_Município;Total;31.9;27.4
2009.0;Elvas_Município;Cursos gerais;30.3;272.8
2009.0;Elvas_Município;Cursos Tecnológicos e Profissionais;19.7;272.8
2009.0;Elvas_Município;Total;26.8;272.8
2009.0;Entroncamento_Município;Cursos gerais;13.8;96.6
2009.0;Entroncamento_Município;Cursos Tecnológicos e Profissionais;26.1;96.6
2009.0;Entroncamento_Município;Total;19.9;96.6
2009.0;Espinho_Município;Cursos gerais;15.4;387.6
2009.0;Espinho_Município;Cursos Tecnológicos e Profissionais;7.1;387.6
2009.0;Espinho_Município;Total;12.1;387.6
2009.0;Esposende_Município;Cursos gerais;17.1;147.2
2009.0;Esposende_Município;Cursos Tecnológicos e Profissionais;4.7;147.2
2009.0;Esposende_Município;Total;13.0;147.2
2009.0;Estarreja_Município;Cursos gerais;19.6;222.8
2009.0;Estarreja_Município;Cursos Tecnológicos e Profissionais;11.7;222.8
2009.0;Estarreja_Município;Total;15.6;222.8
2009.0;Estremoz_Município;Cursos gerais;20.2;98.8
2009.0;Estremoz_Município;Cursos Tecnológicos e Profissionais;12.1;98.8
2009.0;Estremoz_Município;Total;17.0;98.8
2009.0;Évora_Município;Cursos gerais;21.6;477.5
2009.0;Évora_Município;Cursos Tecnológicos e Profissionais;8.7;477.5
2009.0;Évora_Município;Total;16.2;477.5
2009.0;Fafe_Município;Cursos gerais;13.7;539.8
2009.0;Fafe_Município;Cursos Tecnológicos e Profissionais;7.8;539.8
2009.0;Fafe_Município;Total;12.4;539.8
2009.0;Faro_Município;Cursos gerais;21.0;373.7
2009.0;Faro_Município;Cursos Tecnológicos e Profissionais;13.7;373.7
2009.0;Faro_Município;Total;17.9;373.7
2009.0;Felgueiras_Município;Cursos gerais;15.9;567.4
2009.0;Felgueiras_Município;Cursos Tecnológicos e Profissionais;7.5;567.4
2009.0;Felgueiras_Município;Total;12.4;567.4
